date,subways_total_estimated_ridership,subways_of_comparable_pre_pandemic_day,buses_total_estimated_ridersip,buses_of_comparable_pre_pandemic_day,lirr_total_estimated_ridership,lirr_of_comparable_pre_pandemic_day,metro_north_total_estimated_ridership,metro_north_of_comparable_pre_pandemic_day,access_a_ride_total_scheduled_trips,access_a_ride_of_comparable_pre_pandemic_day,bridges_and_tunnels_total_traffic,bridges_and_tunnels_of_comparable_pre_pandemic_day,staten_island_railway_total_estimated_ridership,staten_island_railway_of_comparable_pre_pandemic_day
2023-04-13T00:00:00.000,3628304,0.65,1311906,0.60,200072,0.64,183658,0.64,28451,0.98,939226,1.00,6668,0.41
2023-04-14T00:00:00.000,3471420,0.62,1294357,0.59,190858,0.61,173790,0.61,27514,0.95,989052,1.05,5869,0.36
2023-04-15T00:00:00.000,2365464,0.75,890050,0.67,99793,0.87,103902,0.70,16804,1.01,916008,1.00,1743,0.34
2023-04-16T00:00:00.000,1864753,0.77,728462,0.73,80318,0.88,85026,0.83,16835,0.90,881923,1.02,1309,0.40
2023-04-17T00:00:00.000,3418834,0.61,1438043,0.66,188445,0.61,167759,0.58,27611,0.95,897271,0.95,6926,0.43
2023-04-18T00:00:00.000,3862133,0.69,1526133,0.70,207882,0.67,194548,0.68,29658,1.03,929653,0.99,7879,0.49
2023-04-19T00:00:00.000,3927706,0.70,1530452,0.70,206116,0.66,195085,0.68,30829,1.07,952981,1.01,7889,0.49
2023-04-20T00:00:00.000,4002433,0.72,1520258,0.70,208664,0.67,189699,0.66,30106,1.04,1014633,1.08,7577,0.47
2023-04-21T00:00:00.000,3492257,0.63,1310737,0.60,195442,0.63,174727,0.61,27777,0.96,994549,1.06,6005,0.37
2023-04-22T00:00:00.000,2506140,0.79,893014,0.67,106134,0.93,106032,0.71,16865,1.01,931077,1.02,1715,0.34
2023-04-23T00:00:00.000,1923243,0.79,673668,0.68,87793,0.96,79003,0.77,15947,0.85,880726,1.02,1326,0.41
2023-04-24T00:00:00.000,3561262,0.64,1466762,0.67,196593,0.63,173997,0.61,27254,0.94,911973,0.97,7020,0.43
2023-04-25T00:00:00.000,3956922,0.71,1529162,0.70,216767,0.70,192115,0.67,29504,1.02,927611,0.99,7806,0.48
2023-04-26T00:00:00.000,3994837,0.72,1531476,0.70,216097,0.70,191885,0.67,30191,1.04,947254,1.01,7758,0.48
2023-04-27T00:00:00.000,3999831,0.72,1506783,0.69,216674,0.70,184365,0.64,29969,1.04,981809,1.04,7564,0.47
2023-04-28T00:00:00.000,3703088,0.66,1424078,0.65,195436,0.63,160861,0.56,28306,0.98,996548,1.06,6441,0.40
2023-04-29T00:00:00.000,2179978,0.69,715608,0.54,85167,0.75,77009,0.52,15688,0.94,832504,0.91,1871,0.37
2023-04-30T00:00:00.000,1744098,0.72,578075,0.58,75065,0.82,65334,0.63,15451,0.83,786171,0.91,1355,0.42
2023-05-01T00:00:00.000,3664755,0.64,1465598,0.64,188566,0.59,167178,0.58,27445,0.93,922971,0.96,6960,0.40
2023-05-02T00:00:00.000,3961858,0.69,1498566,0.66,211550,0.66,197217,0.69,29472,1.00,916459,0.95,7749,0.45
2023-05-03T00:00:00.000,4030601,0.70,1533714,0.67,209450,0.66,195363,0.68,30850,1.05,940822,0.98,7862,0.45
2023-05-04T00:00:00.000,3985001,0.70,1497427,0.66,206323,0.65,189538,0.66,30449,1.04,966836,1.00,7417,0.43
2023-05-05T00:00:00.000,3759375,0.66,1450598,0.64,200675,0.63,170610,0.60,28952,0.98,1011491,1.05,6514,0.37
2023-05-06T00:00:00.000,2563102,0.80,934630,0.67,111525,0.94,103318,0.69,18349,1.06,976630,1.02,2584,0.53
